,xG_prev_3,xG_prev_5,shots_90_prev_3,xA_90_prev,xA_90_prev_3,xA_90_prev_10,kp_90,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,was_home,ict_prev,ict_prev_10,transfers_in,transfers_out,average_points,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_goals_conceded,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_opp_xG_scored,prev_3_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_goals_conceded,avg_opp_xG_scored,prev_season_goals,prev_season_shots,prev_season_xG,prev_season_mins,total_points,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played
16,0.0662527284381784,0.906004418346508,5.77262805679351,0.3495843626799777,0.3495843626799777,0.3582666860972174,1.9633433512698848,22.45994516202118,21.459991634884588,13.43997583411103,10.159986987598248,16.628853879331793,1.0,9.255793436107302,6.47744994259059,509.0,525.0,1.0582584044828978,1.1857166957181626,1.8937900279395905,1.4027662765822362,1.6022236283344962,1.7508244341337706,1.0933296155042609,0.8199972116281957,1.147996096279474,1.819997211628196,3.0933296155042607,2.6559977693025565,2.037983723718212,1.072380964861174,1.3646726062670158,1.3486111824989346,2.5617056806653644,2.0312155912450045,1.9276222275106103,1.2615341717356856,1.8107698742396472,1.4827987995061092,0.3463151058026167,2.1125221453959613,0.3759371166706031,52.95194115089955,4.0,0.0,0.0,0.0,0.0,0.0,76.0
17,0.0889676408349509,0.7223716017817494,4.344706238002805,0.0041382344049929,0.0165529376199719,0.0641855323029418,1.088793227663615,34.84547604067251,50.13999395395231,27.414703214978964,34.38102438821038,30.677109395334192,1.0,7.344706238002806,5.657777915997779,419.0,506.0,1.1274296868479785,1.0817386772954012,1.6783541806680629,2.3998058142394365,2.1898179504420328,2.118029019345252,1.1953921865002335,1.0,1.2861985538626928,1.5861765595007014,2.2298041586685367,2.3034118714008414,1.7479464836281586,1.051868297988098,1.4151944178376552,1.2078246806587485,1.9987585877966385,1.7642387163226514,1.7430495899081535,1.367361462101251,1.6578167660194194,1.4996371507614872,0.2475640091743928,1.510140455963796,0.2687393597363917,37.85279540290893,4.0,1.0,0.0,0.0,0.0,0.0,63.0
27,0.453511601667891,0.8726507104418192,14.284454771955602,0.0124650361152109,0.0,0.0144042578593113,1.3960552445788803,30.69138631972486,55.09467088588514,10.232123685931803,6.793050311116296,21.19492057020292,1.0,5.322814346012764,5.219833365727867,564.0,720.0,1.1974373927799984,1.7817651465487157,1.7491009927032066,1.622405542682929,1.3219438097563816,1.4558173069925064,1.520308875061498,1.3365559751106963,2.017019287702943,0.8781467496310125,2.024504541236181,1.7903320746679112,2.5360828455712165,1.4090959218516128,1.921380820000825,0.8240555600278439,1.9522386785284085,1.5128689159565476,1.3710373303219878,1.9576155001378632,1.3377487498580818,1.8812702099604384,0.4223369310183013,2.576255279211637,0.4584614573556148,64.57575757575758,6.0,1.0,0.0,0.0,0.0,0.0,34.0
37,0.3000408237971105,0.3000408237971105,1.4387091022063991,0.0,0.1150430481008966,0.1150430481008966,0.3197226633001524,33.08614804038099,64.74190959928796,41.7725773376868,37.07176606866538,34.46020425254238,0.7193545511031996,2.2299991084199187,3.8887393735413065,30741.0,5691.0,0.7736730250832253,1.2486975008165055,0.9960701499875928,1.1940787846615528,1.1232017063813036,1.408668838982824,1.146236367402133,1.08774182044128,1.1754836408825595,1.5612908977936009,1.2806454488968004,1.161290897793601,0.8544802039836078,1.3308396527195765,1.2475160866627533,0.8562726576638193,1.124796654583474,1.035054749820401,1.392582484987031,1.3983622663295632,1.5654254176837528,1.3739783600611988,0.4383338496905075,2.03825240106086,0.4013034108823081,62.499215998789744,4.0,0.0,1.0,0.0,0.0,0.0,71.0
40,0.4835987924261334,0.2885463830913732,0.6303207960449336,0.05881043923486,0.0051607827318097,0.3201432352509733,1.3082108575606677,82.96196784048136,87.33343601938827,87.33343601938827,87.33343601938827,87.33343601938827,1.0,4.696514467545768,8.609248331382197,41305.0,187522.0,4.12791043629331,0.9870521508461508,0.8653605958846856,0.9561890437983802,1.0794081840290302,0.963964905256492,2.46031257050532,2.352375084606384,1.78570328363697,1.0,1.0,1.161906228848404,2.659070069356932,2.135814503028076,1.869370738133438,0.6746555664626148,0.9717119404673652,0.8917956195639654,0.8354035991029518,1.866656398061172,1.161906228848404,1.800069795269574,0.6355441943748038,3.841048305662466,0.6239222853975889,87.09500521934906,6.0,1.0,0.0,0.0,0.0,2.0,90.0
41,0.2544446542525902,0.4269851446081554,1.3987150284551304,0.0158142504652915,0.0443969565871184,0.1677823278285052,1.2836160433231223,75.57303389574169,85.50969959484412,85.50969959484412,85.50969959484412,74.03768103598455,1.0,4.4875533958655165,8.868911083711522,46747.0,188617.0,3.1838605618071245,1.350577963251809,1.4948689748365067,1.2133904671561395,1.130757800503448,1.2973918701546838,1.6414714864508404,1.5056186350959244,1.5735450607733823,1.6792642567745797,1.6792642567745797,1.950969959484412,1.2078146768937466,1.4216973304813858,1.7196339092893789,0.6998906717177247,1.2678520459057352,1.6159249836534086,1.369214371579388,1.757916787612197,1.4463736544518668,1.6430792943544184,0.1590682940469669,1.0011945566485565,0.1721854618004363,26.03867810132688,4.0,0.0,1.0,0.0,0.0,0.0,90.0
43,0.0434236232422272,0.0222986173406031,9.59861309029838,0.0578395625045912,0.0923059648040879,0.2069563134887574,1.9642545748727729,14.12029095907723,67.23661931900696,13.296099759440832,9.36202633235962,9.831900859447796,1.0,6.824365153721237,16.517260711525488,584620.0,211648.0,1.437966252511104,1.2478791911415072,1.2600809523354364,0.9259368629109606,0.9741321673154364,1.1557119817653343,1.0482484702691417,0.7157963286459393,1.075016280534106,2.0,2.140339452256768,1.5131527535155456,1.341547376345119,1.3685555972864736,1.1817890118673895,1.5199824716563417,2.064568950869534,1.88075981920904,1.6698805795335292,1.0244544517301948,1.9774338162200864,1.1909220472835895,0.1090267889905549,1.5430437556824828,0.1968496761047403,40.10871731241117,4.0,0.0,0.0,0.0,0.0,0.0,67.0
92,0.0060364347496773,0.074491493980688,0.9508142353729994,0.1313110676529748,0.1140977082447598,0.039181488133277,0.7699109403958942,45.83004488326284,21.22964411567501,46.03290105716701,54.68843488365449,34.105609177014,1.0,28.71623496112293,1.616408833459972,2483.0,1987.0,2.140889487798077,2.219588583467568,1.463349762536363,1.119402701108572,1.2847638932271648,1.2506238508841956,0.6994571764180004,0.6393486117016005,0.8147557293881003,3.803256941491997,2.234961804079332,1.9704885412238,0.7849816026752123,1.1260396109848394,1.323730707438447,2.797260527162991,1.6899185387810252,2.1530588512238613,2.0424998500401177,0.7615663914604507,1.507266407234772,1.1320631697777408,0.7470946319867183,2.6895406751521858,0.4976621916281563,72.28,4.0,0.0,0.0,0.0,0.0,0.0,87.0
93,0.3159671856827023,0.2740362079033051,0.0,0.0383268176057831,0.0,0.1949015914468659,0.6102635326586758,33.790674806415495,29.106332910907675,46.85535555177516,28.163408802891595,20.17061933234094,0.6387802934297199,0.6387802934297199,6.710212632169487,1416.0,1759.0,1.5763204435619986,0.6507204271580515,0.9401512972230583,2.189801903414003,1.853491338164076,1.7586879067336714,1.4537399021900934,1.472243941314056,1.1722439413140562,0.0,0.6945530399036135,1.544487882628112,1.0396149345649175,0.8989156408813309,1.100782728195136,1.172338578233301,1.3237566778416188,1.6592803039370247,1.5017892791876506,0.9394673564816532,1.3966497193563323,1.0496909482757664,0.5701143956440309,2.786203856808423,0.4945941455244269,58.81372933905996,6.0,0.0,1.0,0.0,0.0,0.0,33.0
118,0.3552944785111964,1.2891121766819298,0.6832586125215316,0.0,0.0,0.0272167053068323,0.7200209062671512,42.7318886796087,1.3968842744884649,2.0080211445771674,24.111020954689536,40.45152283278008,1.0,0.3928737021998807,9.82840797707353,7961.0,84641.0,3.6048254357648335,1.935469089156269,2.3410368024945094,0.7174395367402935,0.8623020811238287,0.8526755570177765,2.4920561323556085,2.625389465688942,1.8301557862755768,3.4761683970668256,2.2169263104592942,1.9301557862755767,3.383344342449448,2.856571291610358,2.167116566043808,2.8192905875087515,2.054148754406955,1.672289201162788,1.3603737145853465,1.8045657919722056,1.4060877226296076,2.153449610452218,0.5461810428625571,3.0113688488964683,0.5541151029388995,63.93729830553008,5.0,0.0,0.0,0.0,0.0,1.0,67.0
